LOCATION,SUBJECT,TIME,Value
EST,TRY,2009,82.738152
EST,TRY,2010,79.625122
EST,TRY,2011,79.897217
EST,TRY,2012,82.300453
EST,TRY,2013,83.006584
EST,TRY,2014,84.029152
EST,TRY,2015,85.720383
EST,TRY,2016,84.851707
EST,TRY,2017,85.679253
EST,TRY,2018,85.069229
EST,TRY,2019,86.615898
EST,TRY,2020,85.228409
EST,TRY,2021,87.260757
USA,BUPPSRY,1981,55.546682
USA,BUPPSRY,1982,53.548024
USA,BUPPSRY,1983,51.191744
USA,BUPPSRY,1984,53.533721
USA,BUPPSRY,1985,53.404847
USA,BUPPSRY,1986,53.834344
USA,BUPPSRY,1987,54.680055
USA,BUPPSRY,1988,55.565161
USA,BUPPSRY,1989,55.63601
USA,BUPPSRY,1990,55.335142
USA,BUPPSRY,1991,53.501166
USA,BUPPSRY,1992,52.157013
USA,BUPPSRY,1993,51.834091
USA,BUPPSRY,1994,50.949051
USA,BUPPSRY,1995,53.826523
USA,BUPPSRY,1996,53.651592
USA,BUPPSRY,1997,55.228508
USA,BUPPSRY,1998,57.614792
USA,BUPPSRY,1999,57.812458
USA,BUPPSRY,2000,57.756981
USA,BUPPSRY,2001,58.448296
USA,BUPPSRY,2002,57.027046
USA,BUPPSRY,2003,57.758499
USA,BUPPSRY,2004,56.517056
USA,BUPPSRY,2005,57.199039
USA,BUPPSRY,2006,57.958363
USA,BUPPSRY,2007,58.291149
USA,BUPPSRY,2008,56.224297
USA,BUPPSRY,2009,52.46368
USA,BUPPSRY,2010,52.100323
USA,BUPPSRY,2011,51.101292
USA,BUPPSRY,2012,52.879902
USA,BUPPSRY,2013,53.176186
USA,BUPPSRY,2014,54.84893
USA,BUPPSRY,2015,54.681458
USA,BUPPSRY,2016,56.593254
USA,BUPPSRY,2017,55.559578
USA,BUPPSRY,2018,56.757965
USA,BUPPSRY,2019,56.059174
USA,BUPPSRY,2020,55.072292
USA,BUPPSRY,2021,52.077045
TUR,BUPPSRY,1991,59.909107
TUR,BUPPSRY,1992,55.321198
TUR,BUPPSRY,1994,58.773392
TUR,BUPPSRY,1995,64.003418
TUR,BUPPSRY,1997,56.947479
TUR,BUPPSRY,1998,57.359489
TUR,BUPPSRY,1999,55.82996
TUR,BUPPSRY,2000,53.073326
TUR,BUPPSRY,2001,51.888775
TUR,BUPPSRY,2002,50.454697
TUR,BUPPSRY,2003,49.053696
TUR,BUPPSRY,2004,47.68491
TUR,BUPPSRY,2005,47.1721
TUR,BUPPSRY,2006,47.254066
TUR,BUPPSRY,2007,46.91069
TUR,BUPPSRY,2008,46.742432
TUR,BUPPSRY,2009,46.331066
TUR,BUPPSRY,2010,48.504246
TUR,BUPPSRY,2011,50.718143
TUR,BUPPSRY,2012,51.234703
TUR,BUPPSRY,2013,51.228085
TUR,BUPPSRY,2014,50.764965
TUR,BUPPSRY,2015,50.911934
TUR,BUPPSRY,2016,51.428822
TUR,BUPPSRY,2017,52.307957
TUR,BUPPSRY,2018,52.440334
TUR,BUPPSRY,2019,50.084469
TUR,BUPPSRY,2021,49.672829
AUT,BUPPSRY,2004,53.086536
AUT,BUPPSRY,2005,53.223949
AUT,BUPPSRY,2006,53.873268
AUT,BUPPSRY,2007,56.105774
AUT,BUPPSRY,2008,55.389305
AUT,BUPPSRY,2009,54.014412
AUT,BUPPSRY,2010,54.844025
AUT,BUPPSRY,2011,55.126537
AUT,BUPPSRY,2012,54.681053
AUT,BUPPSRY,2013,54.057014
AUT,BUPPSRY,2014,53.03339
AUT,BUPPSRY,2015,52.858994
AUT,BUPPSRY,2016,53.937981
AUT,BUPPSRY,2017,54.064987
AUT,BUPPSRY,2018,55.321404
AUT,BUPPSRY,2019,55.563885
AUT,BUPPSRY,2020,53.948326
AUT,BUPPSRY,2021,54.440353
GRC,BUPPSRY,1987,58.418629
GRC,BUPPSRY,1988,58.552036
GRC,BUPPSRY,1989,58.560562
GRC,BUPPSRY,1990,57.222313
GRC,BUPPSRY,1991,54.441059
GRC,BUPPSRY,1992,55.486458
GRC,BUPPSRY,1993,55.59988
GRC,BUPPSRY,1994,56.142689
GRC,BUPPSRY,1995,56.230247
GRC,BUPPSRY,1996,56.709251
GRC,BUPPSRY,1997,56.655075
GRC,BUPPSRY,1998,56.285931
GRC,BUPPSRY,1999,57.018864
GRC,BUPPSRY,2000,57.541027
GRC,BUPPSRY,2001,57.302723
GRC,BUPPSRY,2002,58.409481
GRC,BUPPSRY,2003,59.843746
GRC,BUPPSRY,2004,57.986698
GRC,BUPPSRY,2005,59.130093
GRC,BUPPSRY,2006,59.47295
GRC,BUPPSRY,2007,59.940395
GRC,BUPPSRY,2008,60.230595
GRC,BUPPSRY,2009,59.757038
GRC,BUPPSRY,2010,58.08382
GRC,BUPPSRY,2011,53.881973
GRC,BUPPSRY,2012,48.422012
GRC,BUPPSRY,2013,46.323322
